Code,Classification,NutMoist,FuelCat,FuelNum,FBP,Upland,Cover,Forest,Cover2,Cover2Num,EcositeStateID,EcositeStateName,Notes
36,Treed Swamp,SD,O-1,1,31,0,Black Spruce,1,Conifer,1,NA,NA,Code (column A) does not occur in the Stralberg_baseline_vegeco4top_mod_100m raster
37,Very Rich-Hydric Marsh,VD,nonfuel,0,101,0,Grassland,0,Grassland,4,NA,NA,Pixels with this code (column A) were overwritten with the nearest neighbour value as we had received email confirmation that this value should be removed
38,Alkali-Hydric,AD,nonfuel,0,101,0,None,0,None,0,NA,NA,Code (column A) does not occur in the Stralberg_baseline_vegeco4top_mod_100m raster
39,Lake,OW,nonfuel,7,102,0,None,0,None,0,39,open_water:all,
40,River,OW,nonfuel,7,102,0,None,0,None,0,NA,NA,"Code (column A) does not occur in the Stralberg_baseline_vegeco4top_mod_100m raster, but anything called 'open water' is classified with ID 39 in the ecosite state rasters in the ST-Sim"
41,Agriculture,AG,nonfuel,0,101,0,None,0,None,0,41,agriculture:all,
42,Urban,UR,nonfuel,0,101,0,None,0,None,0,42,urban:all,
43,Other Non-Fuel,NF,nonfuel,0,101,0,None,0,None,0,43,non-fuel:all,
50,Medium-Mesic Aspen Boreal Mixedwood,MM,M-1/2,3,60,1,Mixedwood,1,Mixedwood,2,17,d1_Aw:all,
,,,,,,,,,,,52,mined:all,
,,,,,,,,,,,53,reclaimed_coarse:all,
,,,,,,,,,,,54,reclaimed_fine:all,
,,,,,,,,,,,55,reclaimed_lowland:all,
,,,,,,,,,,,56,reclaimed_OW:all,
,,,,,,,,,,,57,reclaimed_grass:all,
,,,,,,,,,,,66,gg_shrub:all,
,,,,,,,,,,,99,slated for mining:all,
