"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"80","Lower Boreal Highlands",20,44,38.2851851992309,2.5,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"81","Athabasca Plain",21,5,4.27164843678474,0,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"82","Central Mixedwood",21,4462,4424.40121522918,1,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"83","Kazan Uplands",21,1,0.137111395597458,0.2,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"84","Lower Boreal Highlands",21,9,5.59775948524475,0.4,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"85","Athabasca Plain",22,1,0,0,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"86","Central Mixedwood",22,338,334.132366806269,0.1,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"87","Kazan Uplands",22,6,4.53412385843694,5.9,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"88","Lower Boreal Highlands",22,1,0,0,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"89","Athabasca Plain",25,596,586.710383013531,1.2,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"90","Central Mixedwood",25,7028,7013.15669213701,1.6,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"91","Kazan Uplands",25,1,0,0,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"92","Lower Boreal Highlands",25,1,0,0,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"93","Athabasca Plain",26,2597,2469.25550035871,5.2,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"94","Central Mixedwood",26,35345,35131.3907043868,8,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"95","Kazan Uplands",26,4,1.84579806774855,2.4,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"96","Lower Boreal Highlands",26,1,0,0,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"97","Athabasca Plain",27,1,0,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"98","Central Mixedwood",27,332,331.064732149243,0.1,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"99","Kazan Uplands",27,1,0,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"100","Lower Boreal Highlands",27,1,0,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"101","Athabasca Plain",28,55,53.3783845202333,0.1,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"102","Central Mixedwood",28,3,2.99998915195465,0,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"103","Kazan Uplands",28,1,0,0,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"104","Lower Boreal Highlands",28,3,3,0.2,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
