"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"62","Central Mixedwood",50,182568,181188.095428107,18.8,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"63","Lower Boreal Highlands",50,30333,28996.0058870099,35.8,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"64","Upper Boreal Highlands",50,24315,23644.2359444598,19.3,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"65","Athabasca Plain",16,757,749.437627219129,0.3,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"66","Central Mixedwood",16,656,648.562372628163,0.1,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"67","Lower Boreal Highlands",16,1,0,0,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"68","Upper Boreal Highlands",16,1,0,0,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"69","Athabasca Plain",17,107,103.26185053587,0,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"70","Central Mixedwood",17,14,6.73814951128588,0,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"71","Lower Boreal Highlands",17,5,4.36129799485207,0,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"72","Upper Boreal Highlands",17,20,19.6387019753456,0,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"73","Athabasca Plain",18,73,50.2359542637132,0,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"74","Central Mixedwood",18,35543,35442.4912102723,3.7,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"75","Lower Boreal Highlands",18,386,318.270929549224,0.4,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"76","Upper Boreal Highlands",18,415,396.839593505487,0.3,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"77","Athabasca Plain",19,2,0.914608329534531,0,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
