"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","StralbergName","Color","DEPord"
"74","Central Mixedwood",26,"25109","25000.3969858177","6.5",26,"Medium-Hydric Black Spruce Fen","#75AC00","26_Medium-Hydric Black Spruce Fen"
"75","Kazan Uplands",26,NA,NA,NA,26,"Medium-Hydric Black Spruce Fen","#75AC00","26_Medium-Hydric Black Spruce Fen"
"76","Lower Boreal Highlands",26,"1","0","0",26,"Medium-Hydric Black Spruce Fen","#75AC00","26_Medium-Hydric Black Spruce Fen"
"77","Athabasca Plain",19,"69","68.0006238698843","0.1",28,"Rich-Hygric Shrubland","#99FF89","19_Rich-Hygric Shrubland"
"78","Central Mixedwood",19,"1314","1294.94500245608","0.3",28,"Rich-Hygric Shrubland","#99FF89","19_Rich-Hygric Shrubland"
"79","Kazan Uplands",19,NA,NA,NA,28,"Rich-Hygric Shrubland","#99FF89","19_Rich-Hygric Shrubland"
"80","Lower Boreal Highlands",19,"1","1","0.1",28,"Rich-Hygric Shrubland","#99FF89","19_Rich-Hygric Shrubland"
"81","Athabasca Plain",29,"2494","2449.33171840623","5.2",29,"Rich-Hygric Poplar","#00C89E","29_Rich-Hygric Poplar"
"82","Central Mixedwood",29,"6804","6753.46045789571","1.7",29,"Rich-Hygric Poplar","#00C89E","29_Rich-Hygric Poplar"
"83","Kazan Uplands",29,NA,NA,NA,29,"Rich-Hygric Poplar","#00C89E","29_Rich-Hygric Poplar"
"84","Lower Boreal Highlands",29,"11","7.88312795478851","0.5",29,"Rich-Hygric Poplar","#00C89E","29_Rich-Hygric Poplar"
"85","Athabasca Plain",31,"5220","5143.58761555789","10.9",31,"Rich-Hygric Spruce","#0E995F","31_Rich-Hygric Spruce"
"86","Central Mixedwood",31,"2840","2809.33179380326","0.7",31,"Rich-Hygric Spruce","#0E995F","31_Rich-Hygric Spruce"
"87","Kazan Uplands",31,NA,NA,NA,31,"Rich-Hygric Spruce","#0E995F","31_Rich-Hygric Spruce"
"88","Lower Boreal Highlands",31,"13","10.7657155841589","0.7",31,"Rich-Hygric Spruce","#0E995F","31_Rich-Hygric Spruce"
"89","Athabasca Plain",32,"1","0","0",32,"Rich-Hydric Grass Fen","#9FFFD7","32_Rich-Hydric Grass Fen"
"90","Central Mixedwood",32,"17","17","0",32,"Rich-Hydric Grass Fen","#9FFFD7","32_Rich-Hydric Grass Fen"
"91","Kazan Uplands",32,NA,NA,NA,32,"Rich-Hydric Grass Fen","#9FFFD7","32_Rich-Hydric Grass Fen"
