"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","StralbergName","Color","DEPordNum","DEPord","DEP_Area_perc"
"107","Lower Boreal Highlands",39,1132,1126.30449555814,"Open Water","#071BD6",39,"39_Open Water",1.5
"108","Upper Boreal Highlands",39,2418,2406.92235758137,"Open Water","#071BD6",39,"39_Open Water",2.4
"109","Athabasca Plain",52,1457,1445.41288532293,"Human-modified","#ACAC96",52,"52_Human-modified",1.3
"110","Central Mixedwood",52,107485,107478.586738272,"Human-modified","#ACAC96",52,"52_Human-modified",11.7
"111","Lower Boreal Highlands",52,2,0,"Human-modified","#ACAC96",52,"52_Human-modified",0
"112","Upper Boreal Highlands",52,2,0,"Human-modified","#ACAC96",52,"52_Human-modified",0
"113","Athabasca Plain",42,83,83,"Urban","#373737",62,"42_Urban",0.1
"114","Central Mixedwood",42,6189,6156.86943018436,"Urban","#373737",62,"42_Urban",0.7
"115","Lower Boreal Highlands",42,1,0,"Urban","#373737",62,"42_Urban",0
"116","Upper Boreal Highlands",42,1,0,"Urban","#373737",62,"42_Urban",0
