"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"85","Athabasca Plain",13,52,33.0188423001673,0,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"86","Boreal Subarctic",13,2817,2793.50949897605,0.2,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"87","Central Mixedwood",13,435699,432779.532395257,2.6,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"88","Dry Mixedwood",13,1173370,1171067.26257239,13.7,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"89","Lower Boreal Highlands",13,65947,65442.9150870462,1.2,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"90","Northern Mixedwood",13,357,351.962313049473,0,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"91","Upper Boreal Highlands",13,6066,5928.48265368666,0.5,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"92","Athabasca Plain",14,503,503,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"93","Boreal Subarctic",14,1,0,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"94","Central Mixedwood",14,164463,162344.635327152,1,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"95","Dry Mixedwood",14,955821,951846.748929537,11.2,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"96","Lower Boreal Highlands",14,33901,32978.4084720519,0.6,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"97","Northern Mixedwood",14,1,0,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"98","Upper Boreal Highlands",14,1,0,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"99","Athabasca Plain",15,7410,7370.07213132897,0.5,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"100","Boreal Subarctic",15,8316,8057.45573271361,0.7,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"101","Central Mixedwood",15,607371,602880.862119167,3.6,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"102","Dry Mixedwood",15,348815,346238.815220311,4.1,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"103","Lower Boreal Highlands",15,685780,682004.961805068,12.3,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"104","Northern Mixedwood",15,59050,58914.9398753262,2,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"105","Upper Boreal Highlands",15,41242,39760.1081956168,3.4,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"106","Athabasca Plain",50,113542,112764.564717175,8.4,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"107","Boreal Subarctic",50,65742,64439.7692656438,5.5,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"108","Central Mixedwood",50,3857636,3832866.13802941,22.9,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"109","Dry Mixedwood",50,1533024,1521471.90084957,17.8,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"110","Lower Boreal Highlands",50,1059156,1038533.97210452,18.7,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"111","Northern Mixedwood",50,277916,276612.833104059,9.4,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"112","Upper Boreal Highlands",50,204199,197959.70470981,16.7,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"113","Athabasca Plain",16,15545,15438.2689977131,1.1,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"114","Boreal Subarctic",16,1,0,0,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"115","Central Mixedwood",16,6195,6058.91320774668,0,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"116","Dry Mixedwood",16,25,25,0,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"117","Lower Boreal Highlands",16,408,308.802273144946,0,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"118","Northern Mixedwood",16,1,0,0,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"119","Upper Boreal Highlands",16,710,642.014715831872,0.1,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"120","Athabasca Plain",17,839,827.829255448538,0.1,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"121","Boreal Subarctic",17,1651,1633.80372847384,0.1,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"122","Central Mixedwood",17,58825,58342.5947926504,0.3,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"123","Dry Mixedwood",17,19129,19053.6625477537,0.2,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"124","Lower Boreal Highlands",17,4406,4001.09130318604,0.1,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"125","Northern Mixedwood",17,149981,149848.3293467,5.1,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"126","Upper Boreal Highlands",17,448,356.646797807422,0,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"127","Athabasca Plain",18,252,206.379308543867,0,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"128","Boreal Subarctic",18,5147,4876.19072935193,0.4,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"129","Central Mixedwood",18,655703,653389.941147086,3.9,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"130","Dry Mixedwood",18,200836,199751.958075821,2.3,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"131","Lower Boreal Highlands",18,215579,213192.37412916,3.8,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"132","Northern Mixedwood",18,28715,28600.1676632424,1,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"133","Upper Boreal Highlands",18,16627,15897.3793287415,1.3,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"134","Athabasca Plain",19,4,1.45130375027657,0,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"135","Boreal Subarctic",19,238,236.689159244299,0,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"136","Central Mixedwood",19,31435,31329.3635529625,0.2,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"137","Dry Mixedwood",19,49607,49517.1466178086,0.6,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"138","Lower Boreal Highlands",19,3147,3064.91670854539,0.1,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"139","Northern Mixedwood",19,1,0,0,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"140","Upper Boreal Highlands",19,8889,8861.60133347509,0.7,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"141","Athabasca Plain",20,5362,5296.41690667247,0.4,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"142","Boreal Subarctic",20,214,209.906381797511,0,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"143","Central Mixedwood",20,682681,679311.18325355,4.1,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"144","Dry Mixedwood",20,319466,318084.869250899,3.7,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"145","Lower Boreal Highlands",20,179801,177465.530039078,3.2,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"146","Northern Mixedwood",20,62982,62324.9204352964,2.1,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"147","Upper Boreal Highlands",20,326,173.10767293688,0,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"148","Athabasca Plain",21,3625,3609.86149074323,0.3,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"149","Boreal Subarctic",21,25,25,0,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"150","Central Mixedwood",21,199944,199156.303110131,1.2,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"151","Dry Mixedwood",21,43987,43690.3726463001,0.5,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"152","Lower Boreal Highlands",21,33240,32561.3409945155,0.6,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"153","Northern Mixedwood",21,18262,17974.7448229373,0.6,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"154","Upper Boreal Highlands",21,70,39.7337011805375,0,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"155","Athabasca Plain",22,564,553.729640741367,0,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"156","Boreal Subarctic",22,580,552.257565754466,0,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"157","Central Mixedwood",22,35658,35545.8846480857,0.2,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"158","Dry Mixedwood",22,711,705.041705572978,0,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
